id	document	score	time
34209985	Casio-F-91W die-shot	343	1672602071
34210583	“My PGP key is compromised, and at least many of my bitcoins stolen”	345	1672605351
34210789	Offensive Nim	106	1672606672
34210874	Modeling my Grandpa with 3D Photogrammetry (2021)	162	1672607176
34210902	Tesla broke labor laws by telling workers not to discuss pay, NLRB claims	163	1672607309
34211110	Disagreeable personalities do not have an advantage in power at work (2020)	112	1672608349
34211457	Ask HN: Are there any good open source text-to-speech tools?	242	1672610347
34211482	Adding design-by-contract conditions to C++ via a GCC plugin	128	1672610523
34211691	George Santos story broken by local newspaper months ago	113	1672611919
34211796	Ask HN: Why isn't JSON-RPC more widely adopted?	151	1672612472
34211922	Building a Frankenstein 64	132	1672613425
34212012	ElonJet Wrapped 2022	119	1672613985
34212564	Remaking old computer graphics with AI image generation	181	1672617556
34213036	Megaface	288	1672621743
34213049	Automatic snow tires throw chains at your wheels [video]	166	1672621881
34213200	C++ at the End of 2022	114	1672623439
34213235	The insane biology of the dragonfly (2021) [video]	139	1672623769
34213549	Why Not Mars	815	1672626585
34213715	Interesting things about the Lua interpreter (2020)	141	1672628233
34214022	Mortal Kombat 2 source code leak reveals unused animations and sprites	110	1672631038
34214150	Functional Programming – How and Why	177	1672631942
34214529	Grade inflation: What goes up must come down	125	1672635426
34214896	Show HN: Mafs – React components for interactive math	196	1672639763
34214969	Lessons Learned from the Book “Effective Remote Work”	154	1672640586
34215280	Tadoma	161	1672644157
34215390	Trying Out Flipper Zero	200	1672645311
34215665	Petals: Run 100B+ language models at home bit-torrent style	594	1672648102
34215980	Welcoming 1927 to the Public Domain	107	1672651120
34216118	Canada bans most foreigners from buying homes	464	1672652522
34216159	The year of C++ successor languages	176	1672652951
34216296	Calculus they won't teach you [video]	129	1672654555
34216415	Trash Train: I put my trash cans on rails so they move automatically [video]	316	1672655607
34216619	How many layers of UI inconsistencies are in Windows 11?	574	1672657659
34216761	Code Smell of the Day: Type Keys (2021)	111	1672658730
34217074	Unearthing a long-ignored African writing system	163	1672661396
34217727	The Beauty of Bézier Curves (2021) [video]	145	1672666992
34217752	Mazda has tested a synthetic fuel in an unmodified MX5 on a 1000-mile road trip	111	1672667151
34217999	Tell Cloudflare: You're Breaking Tor/VPN/Shared IPs Again	161	1672668770
34218003	Ask HN: Why did Frontend development explode in complexity?	257	1672668791
34218240	Ask HN: How do you work on your mental health?	115	1672669986
34218251	Optimal hydration may slow down the aging process in humans	156	1672670042
34218340	Filmora and Adobe decide to use “Kdenlive” as a keyword in their online ads	202	1672670576
34218639	AIOC: Ham Radio All-in-One-Cable	275	1672672005
34218660	Mechanical circuits: electronics without electricity [video]	135	1672672108
34218861	The privatization of policing	126	1672673135
34219332	Ask HN: Who wants to be hired? (January 2023)	189	1672675274
34219335	Ask HN: Who is hiring? (January 2023)	456	1672675276
34219422	Airbnb removed my negative review	752	1672675559
34219434	The quest for a family-friendly password manager	111	1672675591
34219654	Weathering Software Winter	123	1672676417
34219909	How the marijuana ‘green rush’ fell apart	123	1672677464
34220524	Databases in 2022: A Year in Review	365	1672679857
34220710	Ask HN: What are you working on this year?	220	1672680531
34220996	The FDA will likely approve the diabetes drug tirzepatide for weight loss	109	1672681621
34221157	The infrastructure behind ATMs	380	1672682234
34221194	Measuring an engineering organization	141	1672682393
34221287	Multi-camera real-time object detection with WebRTC and YOLO	102	1672682749
34221374	Inside the 8086 processor's instruction prefetch circuitry	127	1672683113
34221455	Musicians wage war against evil robots (2012)	120	1672683419
34221561	Nintendo GBA and DS ROM hacking guide (2016)	146	1672683854
34221653	Debloating Windows 10 with one command and no internet scripts	274	1672684218
34221851	Private and Public Mastodon	240	1672684999
34221879	English as She Is Spoke (1884) [pdf]	165	1672685099
34222407	Pyright: Static Type Checker for Python	152	1672687394
34223288	Ask HN: Pros and cons of thinking in public vs. in private?	243	1672691718
34223517	HypChain, the first completely hypothetical blockchain	109	1672692951
34223557	Rust for Professionals	126	1672693171
34224174	The strangest computer manual ever written	422	1672696333
34224456	Solving a Dungeons and Dragons riddle using Prolog	127	1672697793
34224664	Infinite AI Array	588	1672699006
34225192	My Youtube earnings	2015	1672701930
34225417	Books for Software Engineers in 2023	303	1672703317
34226234	Incoming potentially catastrophic storm for SF area	248	1672708522
34227388	Sergey Brin: Irate Call from Steve Jobs	564	1672717783
34227760	Python 2 removed from Debian	471	1672720922
34227943	Bflat – a single ahead-of-time crosscompiler and runtime for C#	159	1672722635
34228114	26 programming languages in 25 days, Part 2: Reflections on language design	198	1672724237
34229502	Ask HN: Alternatives to Scratch for a blind child?	219	1672737399
34229786	Three-eyed forehead in Stable Diffusion	112	1672740637
34229802	LearnCPP: Website devoted to teaching you how to program in C++	298	1672740820
34230093	Web hackers vs. the auto industry	269	1672744031
34230637	First LNG tanker arrives at Germany's new floating terminal	106	1672749252
34230641	Modules, not microservices	1073	1672749303
34230727	Treating documentation like a product	106	1672750234
34230780	Scientists have discovered the first virovore – an organism that eats viruses	640	1672750627
34230823	“Unexplainable” core dump (2011)	193	1672750925
34230841	Shopify tells employees to just say no to meetings	360	1672751079
34231083	GPT-4 could pass bar exam, AI researchers say	102	1672752876
34231152	Start a fucking blog	370	1672753285
